Ville,Nombre d'habitants,Type d'agglomeration
Montfermeil,28006,Ville Moyenne
Vallauris,27970,Ville Moyenne
Saint-Sébastien-sur-Loire,27958,Ville Moyenne
Vanves,27871,Ville Moyenne
Grigny,27571,Ville Moyenne
Orvault,27438,Ville Moyenne
Lambersart,27425,Ville Moyenne
Illkirch-Graffenstaden,27087,Ville Moyenne
Rambouillet,27043,Ville Moyenne
Sucy-en-Brie,27040,Ville Moyenne
Brétigny-sur-Orge,27006,Ville Moyenne
Oullins,26994,Ville Moyenne
Le Gosier,26919,Ville Moyenne
Sens,26854,Ville Moyenne
Villeparisis,26700,Ville Moyenne
Taverny,26607,Ville Moyenne
Bussy-Saint-Georges,26551,Ville Moyenne
Sannois,26524,Ville Moyenne
Miramas,26433,Ville Moyenne
Bergerac,26360,Ville Moyenne
Lunel,26356,Ville Moyenne
La Teste-de-Buch,26269,Ville Moyenne
Étampes,26251,Ville Moyenne
Saumur,26154,Ville Moyenne
Blagnac,26101,Ville Moyenne
Cormeilles-en-Parisis,26074,Ville Moyenne
Cenon,26047,Ville Moyenne
Le Grand-Quevilly,26034,Ville Moyenne
Hénin-Beaumont,25886,Ville Moyenne
Biarritz,25885,Ville Moyenne
Vertou,25879,Ville Moyenne
Gradignan,25871,Ville Moyenne
Élancourt,25857,Ville Moyenne
Gonesse,25853,Ville Moyenne
Cavaillon,25832,Ville Moyenne
Remire-Montjoly,25793,Ville Moyenne
Alençon,25744,Ville Moyenne
Montbéliard,25726,Ville Moyenne
Aurillac,25703,Ville Moyenne
La Garde,25563,Ville Moyenne
Sèvremoine,25519,Ville Moyenne
Eaubonne,25498,Ville Moyenne
Saintes,25412,Ville Moyenne
Vichy,25372,Ville Moyenne
Brunoy,25344,Ville Moyenne
Champs-sur-Marne,25230,Ville Moyenne
Armentières,25225,Ville Moyenne
Fontenay-aux-Roses,25174,Ville Moyenne
Les Ulis,25165,Ville Moyenne
Vierzon,25045,Ville Moyenne
Béthune,24983,Ville Moyenne
Kourou,24805,Ville Moyenne
Muret,24762,Ville Moyenne
Saint-Ouen-l'Aumône,24743,Ville Moyenne
Villeneuve-la-Garenne,24592,Ville Moyenne
Le Kremlin-Bicêtre,24513,Ville Moyenne
Libourne,24432,Ville Moyenne
Sainte-Anne,24430,Ville Moyenne
Petit-Bourg,24412,Ville Moyenne
Rodez,24397,Ville Moyenne
Orly,24361,Ville Moyenne
Eysines,24202,Ville Moyenne
La Valette-du-Var,24114,Ville Moyenne
Laon,24091,Ville Moyenne
Sainte-Suzanne,24086,Ville Moyenne
Vernon,24056,Ville Moyenne
Le Bouscat,24006,Ville Moyenne
Montgeron,23943,Ville Moyenne
Les Pavillons-sous-Bois,23904,Ville Moyenne
Dole,23611,Ville Moyenne
Frontignan,23485,Ville Moyenne
Castelnau-le-Lez,23469,Ville Moyenne
Beaupréau-en-Mauges,23465,Ville Moyenne
Rochefort,23410,Ville Moyenne
Les Lilas,23276,Ville Moyenne
Maisons-Laffitte,23204,Ville Moyenne
Sèvres,23108,Ville Moyenne
Saint-Dizier,23085,Ville Moyenne
Fontaine,23049,Ville Moyenne
Manosque,23018,Ville Moyenne
Lanester,22940,Ville Moyenne
